Município,2007/Jul,2007/Ago,2007/Set,2007/Out,2007/Nov,2007/Dez,2008/Jan,2008/Fev,2008/Mar,2008/Abr,2008/Mai,2008/Jun,2008/Jul,2008/Ago,2008/Set,2008/Out,2008/Nov,2008/Dez,2009/Jan,2009/Fev,2009/Mar,2009/Abr,2009/Mai,2009/Jun,2009/Jul,2009/Ago,2009/Set,2009/Out,2009/Nov,2009/Dez,2010/Jan,2010/Fev,2010/Mar,2010/Abr,2010/Mai,2010/Jun,2010/Jul,2010/Ago,2010/Set,2010/Out,2010/Nov,2010/Dez,2011/Jan,2011/Fev,2011/Mar,2011/Abr,2011/Mai,2011/Jun,2011/Jul,2011/Ago,2011/Set,2011/Out,2011/Nov,2011/Dez,2012/Jan,2012/Fev,2012/Mar,2012/Abr,2012/Mai,2012/Jun,2012/Jul,2012/Ago,2012/Set,2012/Out,2012/Nov,2012/Dez,2013/Jan,2013/Fev,2013/Mar,2013/Abr,2013/Mai,2013/Jun,2013/Jul,2013/Ago,2013/Set,2013/Out,2013/Nov,2013/Dez,2014/Jan,2014/Fev,2014/Mar,2014/Abr,2014/Mai,2014/Jun,2014/Jul,2014/Ago,2014/Set,2014/Out,2014/Nov,2014/Dez,2015/Jan,2015/Fev,2015/Mar,2015/Abr,2015/Mai,2015/Jun,2015/Jul,2015/Ago,2015/Set,2015/Out,2015/Nov,2015/Dez,2016/Jan,2016/Fev,2016/Mar,2016/Abr,2016/Mai,2016/Jun,2016/Jul,2016/Ago,2016/Set,2016/Out,2016/Nov,2016/Dez,2017/Jan,2017/Fev,2017/Mar,2017/Abr,2017/Mai,2017/Jun,2017/Jul,2017/Ago,2017/Set,2017/Out,2017/Nov,2017/Dez,2018/Jan,2018/Fev,2018/Mar,2018/Abr,2018/Mai,2018/Jun,2018/Jul,2018/Ago,2018/Set,2018/Out,2018/Nov,2018/Dez,2019/Jan,2019/Fev,2019/Mar,2019/Abr,2019/Mai,2019/Jun,2019/Jul,2019/Ago,2019/Set,2019/Out,2019/Nov,2019/Dez,2020/Jan,2020/Fev,2020/Mar,2020/Abr,2020/Mai,2020/Jun,2020/Jul,2020/Ago,Total
110146 Pimenteiras do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,-,2,-,-,-,-,1,-,-,-,-,-,-,20
110020 Porto Velho,-,-,-,-,1,3,11,11,-,-,1,16,25,27,15,22,22,15,25,13,13,10,15,14,14,16,18,27,12,9,12,15,11,25,35,30,32,26,23,13,11,26,20,12,11,14,12,14,23,33,15,31,36,32,23,22,17,14,26,17,17,29,19,22,23,17,21,11,9,10,21,13,16,19,21,31,19,12,20,11,7,8,15,16,16,24,23,18,12,13,5,9,6,2,4,5,10,19,8,5,7,6,4,4,9,6,5,11,9,5,10,19,20,8,14,9,4,6,3,5,15,24,4,12,8,21,13,9,9,7,4,6,3,11,13,22,12,10,9,5,7,9,11,12,13,12,15,25,23,12,11,12,8,4,2,2,7,6,2144
110025 Presidente Médici,-,-,-,-,-,-,2,1,1,-,-,1,1,2,-,2,1,1,-,-,3,-,-,1,4,4,3,2,4,-,-,3,1,2,-,1,2,4,1,1,-,1,1,-,-,-,-,-,-,1,1,-,1,-,-,-,-,1,1,1,-,-,1,-,-,2,-,-,-,1,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,68
110147 Primavera de Rondônia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
110026 Rio Crespo,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,2,-,2,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
110028 Rolim de Moura,-,-,-,-,-,-,1,-,-,2,-,2,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,-,-,-,-,-,1,-,1,-,1,1,-,-,2,-,3,-,1,-,-,1,-,1,1,-,1,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,2,1,4,1,-,-,1,-,-,-,-,-,-,1,2,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,66
110029 Santa Luzia D'Oeste,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
110148 São Felipe D'Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
110149 São Francisco do Guaporé,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,-,-,1,1,-,-,1,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,23
110032 São Miguel do Guaporé,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,1,-,1,-,-,1,1,1,-,1,-,1,-,-,1,-,6,1,-,-,-,-,1,1,1,-,-,-,1,-,-,1,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,2,1,-,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,37
110150 Seringueiras,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,14
110155 Teixeirópolis,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,7
110160 Theobroma,-,-,-,-,-,1,-,-,3,-,1,-,-,-,-,-,-,-,-,2,1,-,-,-,-,4,2,-,-,1,-,-,-,1,1,-,-,-,2,-,-,1,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,28
110170 Urupá,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,1,-,-,1,-,1,2,-,2,-,2,-,1,-,-,-,1,1,-,-,1,2,2,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,35
110175 Vale do Anari,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18
110180 Vale do Paraíso,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,19
110030 Vilhena,-,-,-,-,1,1,2,-,-,1,-,-,1,1,-,-,-,-,6,4,2,2,2,1,1,1,-,-,1,3,-,1,2,-,3,1,2,-,-,-,-,-,-,1,-,-,-,1,-,1,-,1,1,-,-,-,1,-,-,1,3,1,-,-,-,1,1,1,-,-,2,-,-,2,1,1,1,1,-,2,-,1,1,-,1,2,1,1,-,-,-,-,2,-,1,1,-,4,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-,-,-,1,-,-,1,1,-,3,3,2,2,2,-,-,2,3,-,-,2,-,1,2,-,-,-,-,1,-,2,-,-,1,1,116
120001 Acrelândia,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3,-,2,-,-,-,-,-,-,-,-,-,1,7,2,2,4,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,34
120005 Assis Brasil,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
120010 Brasiléia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,12
120013 Bujari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2
120017 Capixaba,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,3,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,18
120020 Cruzeiro do Sul,-,-,-,-,-,1,33,29,30,35,30,38,19,25,31,27,22,50,41,38,45,34,37,39,34,23,5,34,45,46,80,42,39,47,40,20,47,47,37,43,54,39,34,25,17,17,24,20,15,13,17,17,28,21,24,26,19,15,17,19,16,12,11,18,19,20,7,13,14,19,10,27,14,10,14,20,31,19,17,18,14,13,12,12,22,14,22,13,32,19,15,14,24,38,15,20,18,16,19,20,10,21,12,22,16,13,11,16,9,25,9,9,23,18,14,8,8,9,11,11,12,9,23,26,28,18,18,14,10,8,5,4,6,7,10,6,1,3,4,3,2,6,9,4,6,2,8,6,5,4,12,14,8,4,-,2,1,-,2978
120025 Epitaciolândia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,1,-,13
120030 Feijó,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,13
120032 Jordão,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
120033 Mâncio Lima,-,-,-,-,-,-,3,3,4,2,1,2,-,3,4,3,2,-,1,1,-,1,1,1,1,-,2,9,9,6,2,4,7,3,3,1,2,1,2,2,2,6,1,-,2,1,1,-,-,3,1,1,2,2,3,3,1,-,1,1,-,-,-,2,2,-,-,1,1,2,1,1,-,-,2,4,6,2,6,-,1,1,-,5,3,2,1,3,-,6,1,1,2,2,-,2,-,-,2,1,-,2,1,1,3,3,5,4,3,1,5,1,2,3,4,5,2,4,2,5,2,1,-,1,5,2,3,1,4,1,3,1,1,1,2,-,2,1,1,-,-,1,3,4,1,-,-,-,-,-,-,-,2,-,-,-,-,-,279
120034 Manoel Urbano,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9
120035 Marechal Thaumaturgo,-,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,1,1,-,-,1,2,1,-,1,-,-,1,2,-,-,2,-,1,1,-,1,-,-,-,-,-,-,1,1,-,-,1,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,-,1,2,-,-,1,-,-,-,-,45
120038 Plácido de Castro,-,-,-,-,-,1,-,-,-,1,2,-,1,4,1,-,1,2,-,-,-,2,1,1,-,-,-,-,-,-,-,1,-,3,5,1,1,-,-,2,-,-,-,1,1,-,-,2,-,2,-,2,-,1,-,-,-,1,-,1,-,-,-,1,-,1,-,1,2,1,-,1,1,1,2,-,-,-,1,-,-,1,2,-,1,1,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2,1,1,-,-,-,1,-,-,-,-,-,-,-,-,1,1,1,1,-,-,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,76
120080 Porto Acre,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,1,1,-,-,-,-,17
120039 Porto Walter,-,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,3,2,-,-,-,2,1,4,1,2,-,1,1,1,2,1,-,-,-,-,-,-,-,-,-,1,1,1,-,1,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,-,1,1,-,1,-,1,-,-,-,-,1,-,2,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,50
120040 Rio Branco,-,-,-,-,2,6,5,4,4,3,1,1,3,3,2,2,4,2,5,8,3,4,3,1,2,1,3,2,3,3,-,1,-,3,2,2,6,2,5,4,3,3,2,-,1,-,2,3,1,1,2,-,1,2,2,1,-,3,1,2,4,-,4,3,1,2,3,-,1,1,-,3,1,1,2,-,4,-,-,-,-,3,1,-,-,-,-,1,-,-,-,2,1,4,-,2,-,2,-,-,-,2,-,1,-,-,-,2,-,-,-,-,-,-,1,-,1,-,-,-,-,-,1,2,2,1,-,-,1,-,1,3,1,1,1,1,-,5,1,1,-,-,-,1,3,-,1,4,3,-,2,1,-,-,-,1,-,-,226
120042 Rodrigues Alves,-,-,-,-,-,3,3,5,5,5,5,1,3,4,7,1,3,2,4,3,4,6,3,9,3,4,-,2,5,2,6,3,7,1,7,1,6,-,5,2,5,2,4,4,2,3,8,-,2,3,3,2,3,5,3,4,2,-,4,6,1,4,2,-,1,2,3,5,1,-,3,3,-,2,5,2,4,6,5,2,7,5,5,4,2,1,1,4,3,1,2,4,-,2,4,5,5,-,1,3,1,3,3,3,2,3,2,2,1,1,3,3,4,5,3,2,1,3,1,4,-,1,-,-,-,4,2,1,2,1,-,1,1,1,-,1,-,1,-,1,3,1,1,-,-,-,2,2,3,2,3,1,-,-,-,-,-,-,390
120043 Santa Rosa do Purus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
120050 Sena Madureira,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,1,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14
120045 Senador Guiomard,-,-,-,-,1,10,4,7,2,2,1,1,-,3,2,-,-,3,-,-,2,3,-,-,-,1,-,-,1,-,1,1,-,-,2,-,1,1,-,-,-,2,1,-,-,-,1,-,2,1,1,1,3,-,-,1,1,-,-,-,2,3,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,3,-,3,1,4,1,1,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,2,-,2,-,-,1,-,-,-,3,1,3,-,-,-,-,-,-,-,-,-,-,-,105
120060 Tarauacá,-,-,-,-,-,-,-,1,1,1,-,-,-,2,-,-,-,-,1,1,-,1,-,-,1,-,-,-,1,-,1,-,-,-,1,1,1,-,-,-,-,1,-,-,1,-,1,-,-,1,-,-,-,-,-,-,1,-,1,-,1,-,-,2,5,1,-,-,-,-,-,2,2,1,-,1,1,-,3,-,-,-,1,2,-,-,-,-,-,-,-,-,1,1,-,1,1,-,1,-,1,3,1,-,-,1,3,-,3,-,-,-,1,1,-,-,-,-,-,2,-,1,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,2,-,1,-,2,-,-,1,-,-,-,-,-,-,75
120070 Xapuri,-,-,-,-,-,-,1,1,2,-,-,-,1,-,3,-,1,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,4,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,27
